jenis_kendaraan,nama_perusahaan,jumlah_unit 
TRANSJAKARTA,Damri,46
TRANSJAKARTA,Mayasari Bakti,293
TRANSJAKARTA,PPD,509
TRANSJAKARTA,Pahala Kencana,14
TRANSJAKARTA,Steady Safe,116
TRANSJAKARTA,BMP Amari,70
TRANSJAKARTA,Transwadaya,80
TRANSJAKARTA,Kopaja,168
Mikrolet,KOLAMAS JAYA,336
Mikrolet,KOMIKA JAYA,39
Mikrolet,KOMILET JAYA,849
Mikrolet,KOPAMILET JAYA,636
Mikrolet,KOPERASI BUDI LUHUR,202
Mikrolet,KOPERASI PURIMAS JAYA,293
Mikrolet,PT KENCANA SAKTI TRANSPORT,26
Mikrolet,PT LESTARISURYA GEMAPERSADA,131
Mikrolet,PUSAT KOPERASI ANGKUTAN UDARA,93
APB,KOLAMAS JAYA,171
APB,KOMIKA JAYA,200
APB,KOMILET JAYA,44
APB,KOPAMILET JAYA,2
APB,KOPERASI BUDI LUHUR,113
APB,KOPERASI PURIMAS JAYA,47
KWK,KOPERASI WAHANA KALPIKA,2042
Metromini,PT. METRO MINI,7
